region,age,weighted,mean
35913,20 to 34 yrs,23866,0.091278
35913,35 to 44 yrs,17641,0.2846975
35913,45 to 54 yrs,23173,0.360629
35913,55 to 64 yrs,18839,0.5131585
35913,65 to 74 yrs,11787,0.6280985
35913,75 to 84 yrs,2325.68,0.7513215
35913,85+ yrs,1708.72,0.932737
35926,20 to 34 yrs,13006,0.08091
35926,35 to 44 yrs,7005,0.288596
35926,45 to 54 yrs,10918,0.434255
35926,55 to 64 yrs,8951,0.551497
35926,65 to 74 yrs,6810,0.612315
35926,75 to 84 yrs,1734,0.791375
35926,85+ yrs,1858,0.941522
35927,20 to 34 yrs,18153,0.085793
35927,35 to 44 yrs,13774,0.278204
35927,45 to 54 yrs,11147,0.386479
35927,55 to 64 yrs,12905,0.470137
35927,65 to 74 yrs,5808,0.604156
35927,75 to 84 yrs,2822,0.762624
35927,85+ yrs,1161,0.882157
35930,20 to 34 yrs,74643,0.070202
35930,35 to 44 yrs,48891,0.229907
35930,45 to 54 yrs,63142,0.397264
35930,55 to 64 yrs,62361,0.517789
35930,65 to 74 yrs,25658,0.648342
35930,75 to 84 yrs,6636,0.743351
35930,85+ yrs,3759,0.899048
35933,20 to 34 yrs,23054,0.083604
35933,35 to 44 yrs,11508,0.250443
35933,45 to 54 yrs,16306,0.39637
35933,55 to 64 yrs,17176,0.481737
35933,65 to 74 yrs,12297,0.55931
35933,75 to 84 yrs,3697,0.719188
35933,85+ yrs,1457,0.840089
35934,20 to 34 yrs,13756,0.071604
35934,35 to 44 yrs,8516,0.278207
35934,45 to 54 yrs,11702,0.378349
35934,55 to 64 yrs,11923,0.502453
35934,65 to 74 yrs,8263,0.61306
35934,75 to 84 yrs,1707,0.775916
35934,85+ yrs,952.11,0.928555
35935,20 to 34 yrs,18239,0.105416
35935,35 to 44 yrs,12146,0.282052
35935,45 to 54 yrs,16026,0.423318
35935,55 to 64 yrs,21009,0.496676
35935,65 to 74 yrs,14849,0.572933
35935,75 to 84 yrs,3976,0.702117
35935,85+ yrs,1766,0.929595
35936,20 to 34 yrs,68068,0.078742
35936,35 to 44 yrs,50012,0.204055
35936,45 to 54 yrs,46860,0.368724
35936,55 to 64 yrs,42476,0.456983
35936,65 to 74 yrs,26247,0.589344
35936,75 to 84 yrs,11767,0.710315
35936,85+ yrs,5466,0.901934
35937,20 to 34 yrs,78475,0.087176
35937,35 to 44 yrs,42606,0.262086
35937,45 to 54 yrs,49050,0.378897
35937,55 to 64 yrs,41967,0.515363
35937,65 to 74 yrs,27144,0.601923
35937,75 to 84 yrs,7968,0.749186
35937,85+ yrs,3811,0.923455
35938,20 to 34 yrs,18081,0.086397
35938,35 to 44 yrs,10538,0.25633
35938,45 to 54 yrs,17699,0.397855
35938,55 to 64 yrs,12578,0.541894
35938,65 to 74 yrs,10785,0.633526
35938,75 to 84 yrs,2498,0.789246
35938,85+ yrs,2102,0.919182
35940,20 to 34 yrs,14259,0.094847
35940,35 to 44 yrs,7161,0.307772
35940,45 to 54 yrs,12726,0.363506
35940,55 to 64 yrs,8500,0.486376
35940,65 to 74 yrs,5651,0.598186
35940,75 to 84 yrs,1994,0.727156
35940,85+ yrs,791.5,0.952219
35941,20 to 34 yrs,25141,0.08104
35941,35 to 44 yrs,14494,0.27637
35941,45 to 54 yrs,20864,0.37433
35941,55 to 64 yrs,17942,0.491874
35941,65 to 74 yrs,10732,0.559461
35941,75 to 84 yrs,2905,0.705592
35941,85+ yrs,2168,0.887883
35942,20 to 34 yrs,16844,0.080432
35942,35 to 44 yrs,7915,0.283375
35942,45 to 54 yrs,11037,0.392231
35942,55 to 64 yrs,11252,0.493098
35942,65 to 74 yrs,6193,0.620963
35942,75 to 84 yrs,3216,0.749788
35942,85+ yrs,985.38,0.8667
35943,20 to 34 yrs,18168,0.092553
35943,35 to 44 yrs,13775,0.225844
35943,45 to 54 yrs,21930,0.410944
35943,55 to 64 yrs,19033,0.476804
35943,65 to 74 yrs,11952,0.628236
35943,75 to 84 yrs,4376,0.731533
35943,85+ yrs,1564,0.859845
35944,20 to 34 yrs,57121,0.085434
35944,35 to 44 yrs,35767,0.244666
35944,45 to 54 yrs,36352,0.341458
35944,55 to 64 yrs,41648,0.4554
35944,65 to 74 yrs,22189,0.6035
35944,75 to 84 yrs,7609,0.757266
35944,85+ yrs,3802,0.904398
35946,20 to 34 yrs,61392,0.081777
35946,35 to 44 yrs,32321,0.21133
35946,45 to 54 yrs,43074,0.404547
35946,55 to 64 yrs,41543,0.466029
35946,65 to 74 yrs,29913,0.616614
35946,75 to 84 yrs,6486,0.712389
35946,85+ yrs,4823,0.880242
35947,20 to 34 yrs,18161,0.091048
35947,35 to 44 yrs,11462,0.254275
35947,45 to 54 yrs,15672,0.384197
35947,55 to 64 yrs,16622,0.499695
35947,65 to 74 yrs,10708,0.660909
35947,75 to 84 yrs,2331,0.760678
35947,85+ yrs,1816,0.934039
35949,20 to 34 yrs,8213,0.10302
35949,35 to 44 yrs,5065,0.269325
35949,45 to 54 yrs,7957,0.388135
35949,55 to 64 yrs,7157,0.522523
35949,65 to 74 yrs,2449,0.678946
35949,75 to 84 yrs,1329,0.794839
35949,85+ yrs,1332,0.947366
35951,20 to 34 yrs,122820,0.074062
35951,35 to 44 yrs,64858,0.218234
35951,45 to 54 yrs,89837,0.309233
35951,55 to 64 yrs,63001,0.432976
35951,65 to 74 yrs,48151,0.588865
35951,75 to 84 yrs,8829,0.691362
35951,85+ yrs,7065,0.932196
35953,20 to 34 yrs,95361,0.076744
35953,35 to 44 yrs,47955,0.244576
35953,45 to 54 yrs,82860,0.384728
35953,55 to 64 yrs,52591,0.490546
35953,65 to 74 yrs,27487,0.594424
35953,75 to 84 yrs,11281,0.748785
35953,85+ yrs,7691,0.936511
35955,20 to 34 yrs,16275,0.089875
35955,35 to 44 yrs,10675,0.238065
35955,45 to 54 yrs,11069,0.411845
35955,55 to 64 yrs,12457,0.40648
35955,65 to 74 yrs,8164,0.5998
35955,75 to 84 yrs,2311,0.706187
35955,85+ yrs,1825,0.865406
35956,20 to 34 yrs,9892,0.083346
35956,35 to 44 yrs,6044,0.300565
35956,45 to 54 yrs,9575,0.386275
35956,55 to 64 yrs,8419,0.551166
35956,65 to 74 yrs,4587,0.704181
35956,75 to 84 yrs,1131,0.790546
35956,85+ yrs,503.59,0.874994
35957,20 to 34 yrs,12754,0.094174
35957,35 to 44 yrs,6730,0.256395
35957,45 to 54 yrs,11612,0.416711
35957,55 to 64 yrs,9459,0.51704
35957,65 to 74 yrs,7186,0.593749
35957,75 to 84 yrs,1142,0.817411
35957,85+ yrs,565.13,0.946804
35958,20 to 34 yrs,24554,0.079348
35958,35 to 44 yrs,18433,0.225578
35958,45 to 54 yrs,18469,0.406522
35958,55 to 64 yrs,20431,0.497074
35958,65 to 74 yrs,12654,0.610126
35958,75 to 84 yrs,3240,0.740112
35958,85+ yrs,1625,0.885572
35960,20 to 34 yrs,70087,0.08778
35960,35 to 44 yrs,47706,0.271408
35960,45 to 54 yrs,65734,0.369617
35960,55 to 64 yrs,49578,0.499059
35960,65 to 74 yrs,31918,0.623585
35960,75 to 84 yrs,7705,0.726485
35960,85+ yrs,4709,0.946686
35961,20 to 34 yrs,24972,0.07889
35961,35 to 44 yrs,13112,0.255929
35961,45 to 54 yrs,19960,0.38013
35961,55 to 64 yrs,13614,0.504827
35961,65 to 74 yrs,10343,0.669765
35961,75 to 84 yrs,3420,0.702911
35961,85+ yrs,836.77,0.902114
35962,20 to 34 yrs,19384,0.079078
35962,35 to 44 yrs,12602,0.271767
35962,45 to 54 yrs,13342,0.340272
35962,55 to 64 yrs,12844,0.504491
35962,65 to 74 yrs,7389,0.608891
35962,75 to 84 yrs,2388,0.681087
35962,85+ yrs,1463,0.919826
35963,20 to 34 yrs,18161,0.091048
35963,35 to 44 yrs,11462,0.254275
35963,45 to 54 yrs,15672,0.384197
35963,55 to 64 yrs,16622,0.499695
35963,65 to 74 yrs,10708,0.660909
35963,75 to 84 yrs,2331,0.760678
35963,85+ yrs,1816,0.934039
35965,20 to 34 yrs,80543,0.093874
35965,35 to 44 yrs,47937,0.254734
35965,45 to 54 yrs,42963,0.359236
35965,55 to 64 yrs,40660,0.492971
35965,65 to 74 yrs,18583,0.553015
35965,75 to 84 yrs,6737,0.755492
35965,85+ yrs,3151,0.922144
35966,20 to 34 yrs,44881,0.078713
35966,35 to 44 yrs,26440,0.23665
35966,45 to 54 yrs,26817,0.396192
35966,55 to 64 yrs,24423,0.483368
35966,65 to 74 yrs,12186,0.647166
35966,75 to 84 yrs,2177,0.771279
35966,85+ yrs,1283,0.908129
35968,20 to 34 yrs,51141,0.079783
35968,35 to 44 yrs,31515,0.274132
35968,45 to 54 yrs,35736,0.355361
35968,55 to 64 yrs,28726,0.496472
35968,65 to 74 yrs,15380,0.63176
35968,75 to 84 yrs,4907,0.735102
35968,85+ yrs,3242,0.904004
35970,20 to 34 yrs,83690,0.075092
35970,35 to 44 yrs,58399,0.245567
35970,45 to 54 yrs,85052,0.326193
35970,55 to 64 yrs,54303,0.489606
35970,65 to 74 yrs,35089,0.606219
35970,75 to 84 yrs,8877,0.80641
35970,85+ yrs,9500,0.914388
35983,20 to 34 yrs,23001,0.077185
35983,35 to 44 yrs,11222,0.24628
35983,45 to 54 yrs,15612,0.357313
35983,55 to 64 yrs,13091,0.498842
35983,65 to 74 yrs,7206,0.610639
35983,75 to 84 yrs,2626,0.709089
35983,85+ yrs,1286,0.845572
35995,20 to 34 yrs,200487,0.083033
35995,35 to 44 yrs,117208,0.219868
35995,45 to 54 yrs,152536,0.336163
35995,55 to 64 yrs,139905,0.493735
35995,65 to 74 yrs,85337,0.600603
35995,75 to 84 yrs,28397,0.693353
35995,85+ yrs,13156,0.925708