region,weighted,mean
35913,99339,0.3606505
35926,50283,0.398614
35927,65770,0.341336
35930,285089,0.346563
35933,85496,0.354499
35934,56819,0.370417
35935,88011,0.403451
35936,250896,0.322886
35937,251020,0.334825
35938,74282,0.388489
35940,51083,0.350425
35941,94246,0.346511
35942,57443,0.35838
35943,90799,0.384752
35944,204489,0.330591
35946,219551,0.345919
35947,76772,0.383496
35949,33500,0.388603
35951,404561,0.29502
35953,325228,0.334269
35955,62775,0.346215
35956,40151,0.387151
35957,49449,0.371933
35958,99405,0.355386
35960,277437,0.353586
35961,86259,0.346311
35962,69413,0.337818
35963,76772,0.383496
35965,240573,0.305611
35966,138207,0.310767
35968,170646,0.327779
35970,334909,0.334634
35983,74043,0.324095
35995,737025,0.333627